,FullStreetAddress,Amenities,Appliances,AssessmentYear,Attic,Baths,BathsFull,BathsHalf,Beds,CityName,CloseDate,ClosePrice,ContractDate,County,CountyTax,CountyTaxPaymentFreq,DaysOnMarket,DomProperty,Fireplaces,Foreclosure,Heating,HOA,HotWater,ImprovementAssessmentAmount,ImprovementAssessmentPaymentFreq,InteriorFeatures,LandAssessmentAmount,LandAssessmentPaymentFreq,Stories,ListDate,ListPrice,ListingLowPrice,ListingType,Longitude,ListingID,OriginalListPrice,Ownership,Parking,PropertyType,Remarks,ShowDays,StreetName,StreetNumber,Style,ListingTaxID,TotalAssessment,TotalOpenHouses,TotalShowings,LivingArea,TotalTaxes,TotalTours,Type,YearBuilt,Zip4,PostalCode
602,1913 KEY BLVD #11571,"Countertop(s) - Granite, Shades / Blinds, Tub - Soaking, Master Bedroom - Full Bathroom, Wood Floors","Dishwasher, Disposal, Refrigerator, Microwave, Stove",2016.0,No,1,1,0,1,ARLINGTON,2017-03-01,297000.0,2017-02-21,ARLINGTON,2696.35,Annually,11,11,0,False,Heat Pump(s),True,Electric,248700.0,Annually,"Floor Plan-Traditional, Floor Plan-Open",27000.0,Annually,1,2017-02-10,299500.0,299500.0,Excl. Right,-77.08371,AR9860528,299500.0,Condo,"Off Site Parking, Street, Unassigned",Residential,"Welcome home to this beautifully renovated unit in charming Colonial Village: featuring upgraded kitchen with granite and SS appliances, new windows, hardwoods throughout, upgraded HVAC system, custom paint. Few blocks to Courthouse metro, Rosslyn, DC, shopping and restaurants. Close to Reagan National airport. Fantastic location!Please give plenty of notice. Monday-Friday: 9A-6P. Sat/Sun: 10A-5P.",All Days,KEY,1913.0,Colonial,16-026-205,275700,0,1,627,2732.18,2,Garden 1-4 Floors,1940,,22201
603,1201 NASH ST N #605,"Crown Molding, Wood Floors, Vanities - Double, Tub - Soaking, Master Bathroom - Separate Shower, Countertop(s) - Granite, Closet - Master Bedroom Walk-in, Automatic Garage Door Opener","Washer, Dryer, Microwave, Oven / Range - Gas, Range Hood, Dishwasher, Disposal, Refrigerator, Icemaker, Oven - Wall",2016.0,No,3,2,1,2,ARLINGTON,2017-05-24,1230000.0,2017-03-10,ARLINGTON,8572.17,Annually,19,19,1,False,Forced Air,False,Natural Gas,808100.0,Annually,"Floor Plan-Open, Floor Plan-Traditional",68400.0,Annually,1,2017-02-21,1275000.0,1275000.0,Excl. Right,-77.07207,AR9867730,1275000.0,Condo,"Garage, Prk Space Cnvys",Residential,"1,711 ft of luxury in light filled corner unit. Gourmet kit w/ custom cabinets, Lrg island, double ovens, high end app & granite counters. Open LR w/ gas fireplace perfect for entertaining. Spacious MBR en-suite w/ double vanities, soaking tub & sep shower. 2 res parking spaces. Large balcony off living area & MBR w/ views of The Washington Monument, Lincoln Memorial, Kennedy Center and more!",,NASH,1201.0,Traditional,17-037-336,876500,0,0,1711,8686.1,2,Mid-Rise 5-8 Floors,2002,3697.0,22209
604,5529 18TH ST N,"Built-in Bookcases, Chair Railing, Closet - Master Bedroom Walk-in, Countertop(s) - Granite, Drapery Rods, Drapes / Curtains, Fireplace Screen, Shades / Blinds, Wainscoting, Wall to Wall Carpeting, Wood Floors","Dishwasher, Disposal, Dryer - Front Loading, Microwave, Oven / Range - Gas, Refrigerator, Washer - Front Loading",2016.0,Yes,3,3,0,4,ARLINGTON,2017-04-13,1050000.0,2017-02-16,ARLINGTON,8666.06,Annually,14,14,2,False,Forced Air,False,Natural Gas,311100.0,Annually,"Floor Plan-Open, Floor Plan-Traditional",575000.0,Annually,3,2017-01-30,1075000.0,1075000.0,Excl. Right,-77.13555,AR9851416,1075000.0,Fee Simple,"Carport, Drvwy/Off Str, Street",Residential,"OPEN SUN(2/12)1-4 PM Walk to Westover Village Deceptively large 4 BR, 3 bath Cape Cod w/carport on large level lot in popular Tara neighborhood. Recent roof, HVAC, double pane windows & updates. Fresh paint, wood floors 2 levels, huge daylight LL rec room, office, bath & great storae. Screened porch off eat in kitchen, 2 woodburning fireplaces. Pristine. Glebe, Swanson, Yorktown.",All Days,18TH,5529.0,Cape Cod,09-020-014,886100,0,0,0,8781.22,2,Detached,1954,3013.0,22205
605,2235 MILITARY RD,"Attic - Stairs Pull Down, Automatic Garage Door Opener, Bathroom(s) - Dual Entry, Built-in Bookcases, Chair Railing, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Countertop(s) - Corian, Crown Molding, Fireplace Gas Insert, Fireplace Screen, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Vanities - Double, Washer / Dryer Hookup, Wet Bar / Bar, Wood Floors, Attic - Walk-in, Attic - Storage Only, Bathroom(s) - Ceramic Tile, Fireplace Glass Doors, Shades / Blinds, Vanities - Separate","Dishwasher, Disposal, Dryer, Central Vacuum, Microwave, Oven - Double, Oven - Wall, Oven / Range - Gas, Refrigerator, Six Burner Stove, Washer, Water Heater, Icemaker",2016.0,Yes,5,4,1,5,ARLINGTON,2017-06-02,1250000.0,2017-05-05,ARLINGTON,12514.49,Annually,85,85,1,False,Hot Water,False,"60 or More Gallon Tank, Natural Gas",603800.0,Annually,"Floor Plan-Open, Floor Plan-Traditional",675800.0,Annually,3,2017-02-10,1299000.0,1299000.0,Excl. Right,-77.109236219,AR9860799,1440000.0,Fee Simple,"Garage, Paved Driveway, Attached, Garage Door Opener",Residential,"Motivated seller!Beautiful brick 5BR colonial in quiet cul-de-sac in the heart of N Arlington. Minutes to DC!Over 5K sq ft! In-home office w/sep entrance. Lrg foyer w/arches and columns, HW floors, open floor plan with lots of natural light. Additional main level office/music rm w/ built ins. Spacious bedrooms, mbr walk-in closet, potential for exercise rm/in-law suite in walk-out bsmnt w/wet bar.",All Days,MILITARY,2235.0,Colonial,05-045-025,1279600,0,1,5266,12680.82,2,Detached,1998,3959.0,22207
606,3723 16TH ST S,,"ENERGY STAR Dishwasher, ENERGY STAR Clothes Washer, ENERGY STAR Refrigerator, Oven / Range - Gas, Dryer, Range Hood",2016.0,Yes,3,3,0,5,ARLINGTON,2017-09-22,970000.0,2017-02-16,ARLINGTON,4546.72,Annually,18,18,0,False,Central,False,Natural Gas,71100.0,Annually,,393800.0,Annually,3,2017-01-30,1000000.0,1000000.0,Excl. Right,-77.09397,AR9851519,1000000.0,Fee Simple,Other,Residential,"Rare opportunity to build/renovate to suit in Douglas Park under $1.2m.  Plans approved by County, pick your own finishes! Close to Douglas Park, multiple transportation, new retail and mixed-use in walking distance.  Stunning and huge corner lot in charming Douglas Park neighborhood. Contact listing agent for sale package.",,16TH,3723.0,Cape Cod,26-007-001,464900,0,0,2725,4607.14,0,Detached,1941,5016.0,22204
607,4454 36TH ST S,"Attic - Finished, Attic - Stairs Pull Down, Attic - Walk-in, Chair Railing, Countertop(s) - Granite, Crown Molding, Drapery Rods, Drapes / Curtains, Shades / Blinds, Wood Floors",,2016.0,Yes,2,2,0,2,ARLINGTON,2017-03-10,478900.0,2017-02-12,ARLINGTON,4048.92,Annually,9,9,0,False,"Central, Forced Air",False,Electric,366000.0,Annually,Floor Plan-Open,48000.0,Annually,3,2017-02-03,489900.0,489900.0,Excl. Right,-77.091143468,AR9851629,489900.0,Condo,Assigned,Residential,"FINALLY, A STUNNING END UNIT CLARENDON IN A VILLAGE WITH ONE OF THE LOWEST CONDO FEES AND ASSIGNED PARKING! LUXURY RENOVATIONS FROM TOP TO BOTTOM. OPEN KITCHEN w/ GLASS CUSTOM CBTS, COUNTERS & STAINLESS STEEL APPLIANCES. BOTH BATHS HAVE BEEN COMPLETELY RE-DONE. HIGH EFFIC HVAC. GLEAMING HARDWOOD FLOORS THROUGHOUT. HUGE REC ROOM w/ DEN USED AS 3RD BR. SLATE PATIO. PERFECT COURT W/ ALL GREEN SPACE!",All Days,36TH,4454.0,Colonial,30-014-421,414000,0,0,1500,4102.74,2,Townhouse,1940,1818.0,22206
608,1531 WAKEFIELD ST N,"Attached Master Bathroom, Bathroom(s) - Ceramic Tile, Bathroom(s) - Dual Entry, Bedroom - Entry Level, Chair Railing, Closet(s) - Walk-in, Countertop(s) - Corian, Countertop(s) - Granite, Crown Molding, Fireplace Gas Insert, Fireplace Mantel(s), Master Bedroom - Full Bathroom, Shades / Blinds, Sump Pump, Wall to Wall Carpeting, Wood Floors","Dishwasher, Disposal, Dryer - Front Loading, Exhaust Fan, Extra Refrigerator / Freezer, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer - Front Loading, Water Heater",2016.0,No,3,3,0,4,ARLINGTON,2017-03-08,912000.0,2017-02-05,ARLINGTON,7733.05,Annually,7,7,1,False,"Hot Water, Radiator, Baseboard",False,Natural Gas,245000.0,Annually,,545700.0,Annually,3,2017-01-31,874000.0,874000.0,Excl. Right,-77.11721999999999,AR9851765,874000.0,Fee Simple,Drvwy/Off Str,Residential,"Contracts, if any due Mon, 2/6 at Noon.  Please text owner.for showings (preferred) (or call) ahead, preferably 1 hour - pet in home. Beautifully updated Cape Cod with hardwood floors, expanded kitchen, 3 full baths - great home for living and entertaining. Fenced backyard. Walk to metro.",All Days,WAKEFIELD,1531.0,Cape Cod,07-038-008,790700,0,1,0,7835.82,1,Detached,1935,2137.0,22207
609,4001 COLUMBIA PIKE,"Attached Master Bathroom, Automatic Garage Door Opener, Bathroom(s) - Ceramic Tile, Closet - Master Bedroom Walk-in, Chair Railing, Fireplace Glass Doors, Countertop(s) - Granite, Crown Molding, Master Bedroom - Full Bathroom, Closet(s) - Walk-in, Wainscoting, Wall to Wall Carpeting, Shades / Blinds, Vanities - Double, Wood Floors, Attic - Access Only, Attic - Storage Only","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Refrigerator, Washer, Oven - Wall, Cooktop",2016.0,No,3,2,1,3,ARLINGTON,2017-04-03,600000.0,2017-03-05,ARLINGTON,5138.41,Annually,33,33,1,False,"Forced Air, Programmable Thermostat",True,"Natural Gas, 60 or More Gallon Tank",220400.0,Annually,Floor Plan-Traditional,305000.0,Annually,4,2017-02-01,599900.0,599900.0,Excl. Right,-77.0987,AR9852377,625000.0,Fee Simple,"Garage, Garage Door Opener, Attached, Faces Rear",Residential,"End unit facing warm southern exposure, lots of extra windows and light, super convenient location to shopping, pub trans, airport, pentagon, 395, Rt 50.  More Columbia Pike development scheduled nearby.  See county website. Great park 1 blk away for kids and pets.  2-car attached garage.",,COLUMBIA,4001.0,Colonial,23-033-076,525400,0,0,2334,5206.7,2,Townhouse,2006,4104.0,22204
610,4619 4TH RD N,"Fireplace Mantel(s), Master Bedroom - Full Bathroom","Dishwasher, Disposal, Dryer, Icemaker, Microwave, Refrigerator, Stove, Washer",2016.0,No,4,2,2,3,ARLINGTON,2017-03-03,777026.0,2017-02-06,ARLINGTON,7016.17,Annually,4,4,1,False,Forced Air,True,Natural Gas,297400.0,Annually,Floor Plan-Traditional,420000.0,Annually,3,2017-02-03,745000.0,745000.0,Excl. Right,-77.11534,AR9854395,745000.0,Fee Simple,"Assigned, Unassigned, Permit Required",Residential,"Beautiful, all brick townhome on quiet mews in wonderful Cathcart Springs! Lustrous hrdwd floors, pristine oak staircases,crown molding; granite & SS kitchen with breakfast area; large master BR suite; huge rec room w/ frpl and walkout to fabulous Geo'town patio and garden. Wide entrance foyer, all new windows, lovely views. Killer location: walk to parks, restaurants and Ballston Metro! Open Sun",All Days,4TH,4619.0,Colonial,13-071-053,717400,0,0,2266,7109.42,2,Townhouse,1981,2347.0,22203
611,6025 5TH RD N,"Attic - Floored, Attic - Stairs Pull Down, Bathroom(s) - Ceramic Tile, Fireplace Equipment, Fireplace Mantel(s), Master Bathroom - Separate Shower, Master Bedroom - Full Bathroom, Washer / Dryer Hookup, Wall to Wall Carpeting, Recycling Area - On Site, Wood Floors","Dishwasher, Disposal, Dryer, Freezer, Oven - Double, Oven - Wall, Stove, Washer, Water Heater",2016.0,Yes,3,2,1,3,ARLINGTON,2017-05-05,720000.0,2017-03-06,ARLINGTON,6474.36,Annually,7,7,1,False,Forced Air,False,Natural Gas,157300.0,Annually,,504700.0,Annually,3,2017-02-28,739000.0,739000.0,Excl. Right,-77.13826,AR9869694,729900.0,Fee Simple,"Garage, Paved Driveway, Street, Faces Front",Residential,"CHARMING 3 BDR. 2.5 BA. SPLIT LEVEL HOME. INTERIOR COMPLETELY PAINTED WITH GLEAMING REFINISHED HARDWOOD FLOORS ON 2 LEVELS. LARGE LIVING RM AND FAMILY RM PERFECT FOR ENTERTAINING. GREAT LOT WITH PRIVATE SCREENED-IN BACK PORCH. 2 CAR GARAGE! MINS TO W&OD TRAILS, BLUEMONT PARK, SHOPPING AND BALSTON AREA RESTAURANTS AND METRO. SOLD ""AS IS"" ALL OFFERS DUE BY 3/5 at 12:00 NOON.",All Days,5TH,6025.0,Split Level,12-029-017,662000,0,0,1715,6560.42,1,Detached,1959,1054.0,22203
612,2388 DANVILLE ST N,"Attached Master Bathroom, Automatic Garage Door Opener, Bathroom(s) - Ceramic Tile, Built-in Bookcases, Closet - Master Bedroom Walk-in, Countertop(s) - Granite, Fireplace Screen, Master Bedroom - Full Bathroom, Stair - Curved, Vanities - Double, Wall to Wall Carpeting, Water Closet(s), Wood Floors, Chair Railing, Closet(s) - Walk-in, Crown Molding, Shades / Blinds, Sump Pump","Air Cleaner, ENERGY STAR Clothes Washer, ENERGY STAR Dishwasher, ENERGY STAR Refrigerator, Dryer - Front Loading, Disposal, Icemaker, Microwave, Oven - Wall, Stove, Washer - Front Loading",2016.0,No,5,4,1,4,ARLINGTON,2017-03-31,1280000.0,2017-02-15,ARLINGTON,10325.72,Annually,6,6,1,False,Heat Pump(s),False,Electric,418100.0,Annually,Floor Plan-Open,637700.0,Annually,3,2017-02-02,1280000.0,1280000.0,Excl. Right,-77.09446,AR9853508,1300000.0,Fee Simple,"Drvwy/Off Str, Garage",Residential,"Charming, spacious 4BR 4.5BA cape cod in ""Woodmont"" completely renovated in 2015. Gorgeous private 22,326 sq ft lot is a garden club winner! 36'x16' kitchen/breakfast/family room flanked by wall of windows opening out to wonderful deck. Plus fireplace, 2 car garage, laundry/mud room, hardwoods, foyer, daylight walkout basement with 25x15 rec room & full bath ~ functions well as in-law suite.",All Days,DANVILLE,2388.0,Cape Cod,04-028-081,1055800,0,0,7908,10462.96,2,Detached,1978,4923.0,22207
613,812 ARLINGTON MILL DR #7-201,,,2015.0,No,1,1,0,2,ARLINGTON,2017-05-08,192500.0,2017-02-23,ARLINGTON,,,17,17,0,False,Heat Pump(s),True,Natural Gas,161200.0,Annually,"Floor Plan-Open, Floor Plan-Traditional",27200.0,Annually,1,2017-02-02,199900.0,199900.0,Excl. Agency,-77.11338,AR9853587,199900.0,Condo,Unassigned,Residential,"Showings must be made at least 4 hours in advance. Lockbox is located in front of building 824 on the right side top bar. Fantastic Community located w/in steps of the W&OD Bike/Jogging Trail! Pet Friendly! Short walk to Columbia Pike Transit. Cozy 2 Bd unit w Beautiful Hardwood Floors n Updated BA! Large Bay Window! Minutes away from Pentagon City, Columbia Pike, Shirlington Restaurants n Shops!",All Days,ARLINGTON MILL,812.0,Colonial,22-001-423,188400,0,0,715,1876.46,1,Garden 1-4 Floors,1947,,22204
614,2361 KENMORE ST N,"Automatic Garage Door Opener, Bathroom(s) - Dual Entry, Built-in Bookcases, Closet - Master Bedroom Walk-in, Closet(s) - Cedar, Closet(s) - Walk-in, Countertop(s) - Granite, Crown Molding, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Master Bedroom - Full Bathroom, Solar Tubes, Steam Shower, Tub - Soaking, Vanities - Double, Wainscoting, Washer / Dryer Hookup, Wet Bar / Bar, Whirlpool Jets, Wood Floors","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Oven - Wall, Oven / Range - Gas, Range Hood, Refrigerator, Washer, Water Heater",2016.0,Yes,3,3,0,4,ARLINGTON,2017-03-03,1327000.0,2017-02-06,ARLINGTON,9379.02,Annually,6,6,1,False,Forced Air,False,Natural Gas,368100.0,Annually,Floor Plan-Traditional,590900.0,Annually,4,2017-02-01,1295000.0,1295000.0,Excl. Right,-77.10065,AR9852332,1295000.0,Fee Simple,Garage,Residential,"This one sets the bar! No detail overlooked or short changed.  This renovation/expansion offers amazing amenities/details at every turn & all finished with the highest level of design and materials.  3200SF of amazing finished living space located across from parkland with access to the Potomac AND walk to Starbucks, the Italian Store and Giant.  Must be seen to be appreciated!",All Days,KENMORE,2361.0,Contemporary,04-026-079,959000,0,0,0,9503.68,2,Detached,1956,4481.0,22207
615,4811 29TH ST S #A1,"Bathroom(s) - Ceramic Tile, Closet - Master Bedroom Walk-in, Closet(s) - Walk-in, Countertop(s) - Granite, Home Warranty, Wood Floors","ENERGY STAR Refrigerator, Dryer - Front Loading, Dishwasher, Disposal, ENERGY STAR Dishwasher, Icemaker, Microwave, Oven / Range - Electric, Washer - Front Loading",2016.0,No,2,2,0,1,ARLINGTON,2017-04-05,405000.0,2017-02-23,ARLINGTON,3411.26,Annually,14,14,0,False,Forced Air,False,Electric,314700.0,Annually,Floor Plan-Traditional,34100.0,Annually,2,2017-02-10,405000.0,405000.0,Excl. Right,-77.10126,AR9860504,399999.0,Condo,Permit Required,Residential,"Shows Remarkable compared to other like homes in the area- the renovations are sure to please! More Details...New Nickel Hardware/Hinges on Doors, New Register Covers.  Home Warranty Included.  LL Rec Room was used as an office/yoga room.  LL Den was used as the owners Master Bedroom and has Own Entrance/Exit, Walk-In Closet and NEW Bath.",All Days,29TH,4811.0,Colonial,29-007-725,348800,0,1,1422,3456.6,3,Garden 1-4 Floors,1944,1338.0,22206
616,1201 GARFIELD ST #607,,,2016.0,No,3,2,1,2,ARLINGTON,2017-03-31,757000.0,2017-03-03,ARLINGTON,7217.64,Annually,30,30,1,False,Central,False,Natural Gas,682000.0,Annually,Floor Plan-Open,56000.0,Annually,1,2017-02-01,775000.0,775000.0,Excl. Agency,-77.09375,AR9852787,775000.0,Condo,Garage,Residential,Seller prefers Double Eagle for settlement. Disclosures in doc section.,,GARFIELD,1201.0,Contemporary,18-014-206,738000,0,0,1399,7313.58,1,Hi-Rise 9+ Floors,2006,6811.0,22201
617,3389 STAFFORD ST S,"Attic - Finished, Attic - Stairs Fixed, Bathroom(s) - Ceramic Tile, Wall to Wall Carpeting, Wood Floors","Dishwasher, Disposal, Dryer, Exhaust Fan, Microwave, Oven / Range - Electric, Refrigerator, Washer",2016.0,Yes,2,2,0,2,ARLINGTON,2017-05-19,472000.0,2017-03-21,ARLINGTON,4152.59,Annually,12,12,0,False,"Heat Pump(s), Forced Air, Zoned",False,Electric,376600.0,Annually,Floor Plan-Traditional,48000.0,Annually,4,2017-03-09,472000.0,472000.0,Excl. Right,-77.086040584,AR9882231,472000.0,Condo,"Assigned, Permit Required, Surface, Faces Front",Residential,"FABULOUS FOUR-LEVEL CLARENDON on beautiful park-like court!  Bright top level w/French doors, vaulted ceil, den/bedroom laundry.   Updated kitch w/brkfst bar open to DR, LL rec room and den w/window. New carpet, paint. Priv fenced patio area.Assigned pkg sp. Short walk to Quaker Lane shops, close to Shirlington Village theatre, restaurants, W&OD bike path. .",All Days,STAFFORD,3389.0,Colonial,30-017-472,424600,0,0,1800,4207.76,2,Townhouse,1940,1916.0,22206
618,4420 8TH ST S,"Attached Master Bathroom, Bathroom(s) - Ceramic Tile, Closet(s) - Walk-in, Fireplace Glass Doors, Fireplace Mantel(s), Closet - Master Bedroom Walk-in, Master Bathroom - Separate Shower, Master Bathroom - Separate Tub, Sump Pump, Wall to Wall Carpeting, Wood Floors","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Microwave, Oven / Range - Gas, Refrigerator, Washer",2016.0,Yes,4,3,1,4,ARLINGTON,2017-03-28,962000.0,2017-02-08,ARLINGTON,9180.49,Annually,6,6,1,False,Forced Air,False,Natural Gas,469700.0,Annually,Floor Plan-Open,469000.0,Annually,3,2017-02-02,959000.0,959000.0,Excl. Right,-77.10684,AR9854224,959000.0,Fee Simple,"Garage, Asphalt Driveway",Residential,"GORGEOUS AND PRIVATE COLONIAL IN  SOUGHT AFTER BARCROFT NEIGHBORHOOD**FRESHLY PAINTED, NEW CARPET AND DEEP CLEANED**HARDWOODS ON THE MAIN LEVEL**TONS OF NATURAL LIGHT**TONS OF STORAGE SPACE**DECK OFF KITCHEN TO ENJOY BBQING & PARK LIKE SETTING**GAS FIREPLACE IN THE FAMILY ROOM**TONS OF CLOSET SPACE**ABOUT 3,500SQ FT OF LIVING SPACE**DONT MISS OUT ON THIS ONE!!!",All Days,8TH,4420.0,Colonial,23-035-033,938700,0,1,0,9302.5,1,Detached,1993,1471.0,22204
619,1600 OAK ST #917,"2 Attached Master Bathrooms, Closet(s) - Walk-in, Countertop(s) - Granite, Master Bedroom - Full Bathroom, Shades / Blinds, Wood Floors","Dishwasher, Disposal, Microwave, Oven / Range - Electric, Refrigerator, Washer / Dryer - Stacked",2016.0,No,2,2,0,2,ARLINGTON,2017-03-24,547000.0,2017-02-19,ARLINGTON,4892.93,Annually,19,19,0,False,Forced Air,True,Electric,460900.0,Annually,Floor Plan-Open,39400.0,Annually,1,2017-02-01,549900.0,549900.0,Excl. Right,-77.07378,AR9852627,549900.0,Condo,"Assigned, Basement Garage",Residential,"Live life well at The Belvedere.  Amenities and location combine to make this spacious two master suite condo your home of choice.  Beautifully updated baths and kitchen with s/s appliances and cherry cabinets,  Includes assigned large parking space in the underground garage and extra storage.  Agents please sign in at the front desk.  20 minute parking in front of entrance for showing.",All Days,OAK,1600.0,Contemporary,17-003-429,500300,0,0,1095,4957.94,1,Hi-Rise 9+ Floors,1987,2765.0,22209
620,1220 FILLMORE ST N #804,"Closet - Master Bedroom Walk-in, Fireplace Mantel(s), Fireplace Screen, Master Bathroom - Separate Shower, Master Bedroom - Full Bathroom, Shades / Blinds, Vanities - Separate, Crown Molding, Bathroom(s) - Ceramic Tile, Countertop(s) - Granite, Washer / Dryer Hookup","Dishwasher, Disposal, Dryer, Exhaust Fan, Oven / Range - Gas, Refrigerator, Washer",,No,3,2,1,2,ARLINGTON,2017-03-17,1080000.0,2017-02-08,ARLINGTON,9564.0,Annually,6,6,1,False,Forced Air,False,Natural Gas,907500.0,Annually,Floor Plan-Open,70400.0,Annually,1,2017-02-02,1100000.0,1100000.0,Excl. Right,-77.09308100000001,AR9853848,1100000.0,Condo,"Covered Parking, Garage",Residential,"Steps to Clarendon metro. Beautifully updated two bedroom plus den in the heart of Clarendon. Largest model in Station Square. Approximately 1800 square feet. Gorgeous renovated white kitchen and new master bathroom, new flooring and freshly painted. Amazing panoramic views of Arlington, Georgetown and DC. Walk to shops and restaurants. Two underground parking spaces and separate storage space.",All Days,FILLMORE,1220.0,Colonial,18-014-298,977900,0,0,1761,9691.0,1,Hi-Rise 9+ Floors,2006,,22201
621,4709 30TH ST S,"Attic - Floored, Attic - Stairs Pull Down",,2016.0,Yes,2,2,0,2,ARLINGTON,2017-02-28,320000.0,2016-12-16,ARLINGTON,4377.53,Annually,0,0,0,False,Heat Pump(s),False,Electric,393600.0,Annually,Floor Plan-Traditional,54000.0,Annually,3,2016-12-16,320000.0,320000.0,Excl. Right,-77.09935,AR9873290,320000.0,Condo,Gen Comm Elem,Residential,NOT A COMP.  This was a private sale with1% commission total.  House needed a complete renovation.,,30TH,4709.0,Colonial,29-009-809,447600,0,0,1126,4435.7,0,Townhouse,1944,1501.0,22206
622,3800 FAIRFAX DR #803,"Bedroom - Entry Level, Master Bedroom - Full Bathroom, Wood Floors, Attached Master Bathroom, Bathroom(s) - Ceramic Tile, Chair Railing, Crown Molding, Shades / Blinds","Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Refrigerator, Washer, Stove",2002.0,No,2,2,0,2,ARLINGTON,2017-03-17,545000.0,2017-02-15,ARLINGTON,,,13,13,0,False,Forced Air,False,Natural Gas,489000.0,Annually,Floor Plan-Traditional,57600.0,Annually,1,2017-02-02,545000.0,545000.0,Excl. Right,-77.10489,AR9853490,545000.0,Condo,Garage,Residential,"PERFECT CONDO 1 block to VA. SQ. METRO.  Hdwd. parquet flrs., remodeled kitchen, incredible rm. sizes (1440 s.f.+ 20 ft. balcony).  Prime Deeded Garage Space G3-89 at door to elevator.  Incomparable solid, secure bldg. 1 block to Va. Sq. Metro.~24 hr. attended lobby w/pampering personnel. Comcast cable TV, xtra storage & ALL utilities included. Pool & all of central Arlington's conveniences.",All Days,FAIRFAX,3800.0,International,14-042-105,546600,0,0,1440,5417.0,2,Hi-Rise 9+ Floors,1974,1704.0,22203
623,1222 LIVINGSTON ST,,,2016.0,Yes,3,2,1,4,ARLINGTON,2017-01-30,650000.0,2016-12-19,ARLINGTON,5908.1,Annually,0,0,0,False,Forced Air,False,Natural Gas,99100.0,Annually,,505000.0,Annually,3,2016-12-19,675000.0,675000.0,Excl. Right,-77.14043000000001,AR9852879,675000.0,Fee Simple,Drvwy/Off Str,Residential,"Entered for comps purposes only, sold as-is",,LIVINGSTON,1222.0,Colonial,10-037-077,604100,0,0,0,5986.6,0,Detached,1939,2321.0,22205
624,1200 NASH ST #217,"Countertop(s) - Granite, Closet(s) - Walk-in","Refrigerator, Icemaker, Microwave, Dishwasher, Oven / Range - Gas",2016.0,No,1,1,0,1,ARLINGTON,2017-04-10,427000.0,2017-02-25,ARLINGTON,3951.12,Annually,11,11,0,False,Forced Air,False,Natural Gas,375900.0,Annually,Floor Plan-Open,28100.0,Annually,2,2017-02-14,429000.0,429000.0,Excl. Right,-77.07279,AR9854003,429000.0,Condo,Garage,Residential,"Luxury living in sought-after contemporary Prospect House! Stylishly updated kitchen & bath, living rm w/soaring 13' ceilings & wall of windows, large private patio. Views of monuments & city skyline. Four blks to Rosslyn metro.  Great bldg amenities incl. fitness ctr, 24/7 concierge, Olympic-size pool, convenience store. New carpet, plantation shutters, neutral paint, extra storage...a real 10!",All Days,NASH,1200.0,Contemporary,17-036-025,404000,0,0,1065,4003.64,2,Hi-Rise 9+ Floors,1964,3613.0,22209
625,3916 9TH RD S,Attached Master Bathroom,"Dishwasher, Disposal, Dryer, Exhaust Fan, Icemaker, Oven / Range - Electric, Range Hood, Refrigerator, Stove",2016.0,No,3,2,1,2,ARLINGTON,2017-06-24,360000.0,2017-05-24,ARLINGTON,3130.58,Annually,54,54,1,False,Heat Pump(s),False,Electric,263500.0,Annually,Floor Plan-Open,56600.0,Annually,2,2017-02-03,375000.0,375000.0,Excl. Right,-77.09825,AR9854380,389900.0,Condo,Assigned,Residential,"CONTRACT FELL OUT! BRIGHT & SUNNY 2 LVL TH CONDO IN UP & COMING SOUTH ARINGTON! SPACIOUS KITCHEN OVERLOOKS OPEN AIRY DINING & LR W/FIREPLACE & SLIDING GLASS DOOR TO DECK! GREAT FOR ENTERTAINING! TWO MASTER SUITES! FRESHLY PAINTED! RECENT UPDATES HVAC, H2O HEATER, FLOORING, WINDOWS, SIDING, DECK & ROOF! ASSIGNED PARKING & GUEST PASS. COMMUTERS DREAM! NEAR PENTAGON, I66 & RT50, SHOPS & RESTUARANTS!",All Days,9TH,3916.0,Contemporary,23-039-095,320100,0,0,1088,3172.16,1,Townhouse,1986,4170.0,22204
